vocabulary size: 223
n tunes: 26273
n train tunes: 24929.0
n validation tunes: 1344.0
39053/77903 (epoch 100.260) train_loss=118.58723450 time/batch=0.51s
39054/77903 (epoch 100.263) train_loss=207.48207092 time/batch=0.73s
39055/77903 (epoch 100.266) train_loss=203.42539978 time/batch=0.73s
39056/77903 (epoch 100.268) train_loss=272.37347412 time/batch=0.91s
39057/77903 (epoch 100.271) train_loss=213.84045410 time/batch=0.80s
39058/77903 (epoch 100.273) train_loss=122.09382629 time/batch=0.51s
39059/77903 (epoch 100.276) train_loss=168.13471985 time/batch=0.63s
39060/77903 (epoch 100.278) train_loss=270.01876831 time/batch=0.90s
39061/77903 (epoch 100.281) train_loss=177.98657227 time/batch=0.71s
39062/77903 (epoch 100.284) train_loss=102.11245728 time/batch=0.38s
39063/77903 (epoch 100.286) train_loss=245.72845459 time/batch=0.82s
39064/77903 (epoch 100.289) train_loss=150.78709412 time/batch=0.61s
39065/77903 (epoch 100.291) train_loss=126.83000946 time/batch=0.49s
39066/77903 (epoch 100.294) train_loss=109.97873688 time/batch=0.44s
39067/77903 (epoch 100.296) train_loss=254.91180420 time/batch=0.80s
39068/77903 (epoch 100.299) train_loss=89.98141479 time/batch=0.38s
39069/77903 (epoch 100.301) train_loss=203.53747559 time/batch=0.68s
39070/77903 (epoch 100.304) train_loss=181.89266968 time/batch=0.69s
39071/77903 (epoch 100.307) train_loss=100.57069397 time/batch=0.39s
39072/77903 (epoch 100.309) train_loss=157.15872192 time/batch=0.54s
39073/77903 (epoch 100.312) train_loss=115.20149231 time/batch=0.46s
39074/77903 (epoch 100.314) train_loss=112.24272156 time/batch=0.46s
39075/77903 (epoch 100.317) train_loss=276.83010864 time/batch=0.90s
39076/77903 (epoch 100.319) train_loss=212.26843262 time/batch=0.78s
39077/77903 (epoch 100.322) train_loss=255.93966675 time/batch=0.89s
39078/77903 (epoch 100.325) train_loss=313.22332764 time/batch=1.07s
39079/77903 (epoch 100.327) train_loss=113.18944550 time/batch=0.45s
39080/77903 (epoch 100.330) train_loss=111.84257507 time/batch=0.37s
39081/77903 (epoch 100.332) train_loss=234.39314270 time/batch=0.78s
39082/77903 (epoch 100.335) train_loss=289.99908447 time/batch=0.95s
39083/77903 (epoch 100.337) train_loss=179.61001587 time/batch=0.67s
39084/77903 (epoch 100.340) train_loss=322.15814209 time/batch=1.08s
39085/77903 (epoch 100.343) train_loss=117.50370026 time/batch=0.52s
39086/77903 (epoch 100.345) train_loss=104.94490051 time/batch=0.38s
39087/77903 (epoch 100.348) train_loss=142.13287354 time/batch=0.50s
39088/77903 (epoch 100.350) train_loss=164.75581360 time/batch=0.62s
39089/77903 (epoch 100.353) train_loss=231.73092651 time/batch=0.82s
39090/77903 (epoch 100.355) train_loss=240.22229004 time/batch=0.89s
39091/77903 (epoch 100.358) train_loss=178.62539673 time/batch=0.71s
39092/77903 (epoch 100.361) train_loss=131.49266052 time/batch=0.53s
39093/77903 (epoch 100.363) train_loss=218.16989136 time/batch=0.75s
39094/77903 (epoch 100.366) train_loss=131.98753357 time/batch=0.54s
39095/77903 (epoch 100.368) train_loss=242.77366638 time/batch=0.82s
39096/77903 (epoch 100.371) train_loss=147.60089111 time/batch=0.62s
39097/77903 (epoch 100.373) train_loss=83.37596893 time/batch=0.32s
39098/77903 (epoch 100.376) train_loss=101.31257629 time/batch=0.35s
39099/77903 (epoch 100.379) train_loss=144.48721313 time/batch=0.55s
39100/77903 (epoch 100.381) train_loss=135.09002686 time/batch=0.53s
39101/77903 (epoch 100.384) train_loss=397.73565674 time/batch=1.22s
39102/77903 (epoch 100.386) train_loss=171.14193726 time/batch=0.72s
39103/77903 (epoch 100.389) train_loss=115.30166626 time/batch=0.47s
39104/77903 (epoch 100.391) train_loss=151.37232971 time/batch=0.58s
39105/77903 (epoch 100.394) train_loss=193.87515259 time/batch=0.67s
39106/77903 (epoch 100.396) train_loss=73.28973389 time/batch=0.28s
39107/77903 (epoch 100.399) train_loss=140.62622070 time/batch=0.48s
39108/77903 (epoch 100.402) train_loss=133.73678589 time/batch=0.50s
39109/77903 (epoch 100.404) train_loss=72.83982849 time/batch=0.26s
39110/77903 (epoch 100.407) train_loss=183.95846558 time/batch=0.61s
39111/77903 (epoch 100.409) train_loss=117.74343872 time/batch=0.47s
39112/77903 (epoch 100.412) train_loss=136.68577576 time/batch=0.51s
39113/77903 (epoch 100.414) train_loss=118.01525116 time/batch=0.45s
39114/77903 (epoch 100.417) train_loss=168.17248535 time/batch=0.59s
39115/77903 (epoch 100.420) train_loss=85.78283691 time/batch=0.35s
39116/77903 (epoch 100.422) train_loss=96.59389496 time/batch=0.36s
39117/77903 (epoch 100.425) train_loss=117.90224457 time/batch=0.44s
39118/77903 (epoch 100.427) train_loss=102.40457916 time/batch=0.35s
39119/77903 (epoch 100.430) train_loss=161.59017944 time/batch=0.53s
39120/77903 (epoch 100.432) train_loss=134.37528992 time/batch=0.49s
39121/77903 (epoch 100.435) train_loss=149.74920654 time/batch=0.53s
39122/77903 (epoch 100.438) train_loss=108.38804626 time/batch=0.40s
39123/77903 (epoch 100.440) train_loss=188.84332275 time/batch=0.65s
39124/77903 (epoch 100.443) train_loss=146.80050659 time/batch=0.58s
39125/77903 (epoch 100.445) train_loss=326.88653564 time/batch=1.09s
39126/77903 (epoch 100.448) train_loss=100.12834167 time/batch=0.42s
39127/77903 (epoch 100.450) train_loss=229.04843140 time/batch=0.74s
39128/77903 (epoch 100.453) train_loss=249.97450256 time/batch=0.86s
39129/77903 (epoch 100.456) train_loss=115.52987671 time/batch=0.46s
39130/77903 (epoch 100.458) train_loss=293.09405518 time/batch=1.00s
39131/77903 (epoch 100.461) train_loss=149.99696350 time/batch=0.64s
39132/77903 (epoch 100.463) train_loss=283.83761597 time/batch=0.89s
39133/77903 (epoch 100.466) train_loss=137.29458618 time/batch=0.54s
39134/77903 (epoch 100.468) train_loss=189.15484619 time/batch=0.64s
39135/77903 (epoch 100.471) train_loss=149.01269531 time/batch=0.58s
39136/77903 (epoch 100.474) train_loss=152.08044434 time/batch=0.56s
39137/77903 (epoch 100.476) train_loss=116.80839539 time/batch=0.40s
39138/77903 (epoch 100.479) train_loss=141.24987793 time/batch=0.50s
39139/77903 (epoch 100.481) train_loss=109.04235840 time/batch=0.37s
39140/77903 (epoch 100.484) train_loss=95.17986298 time/batch=0.34s
39141/77903 (epoch 100.486) train_loss=186.16084290 time/batch=0.64s
39142/77903 (epoch 100.489) train_loss=134.17843628 time/batch=0.52s
39143/77903 (epoch 100.491) train_loss=143.35456848 time/batch=0.52s
39144/77903 (epoch 100.494) train_loss=200.68708801 time/batch=0.71s
39145/77903 (epoch 100.497) train_loss=117.27296448 time/batch=0.49s
39146/77903 (epoch 100.499) train_loss=108.93130493 time/batch=0.40s
39147/77903 (epoch 100.502) train_loss=128.35281372 time/batch=0.46s
39148/77903 (epoch 100.504) train_loss=168.20645142 time/batch=0.53s
39149/77903 (epoch 100.507) train_loss=105.27075195 time/batch=0.35s
39150/77903 (epoch 100.509) train_loss=99.67043304 time/batch=0.35s
39151/77903 (epoch 100.512) train_loss=157.25920105 time/batch=0.53s
39152/77903 (epoch 100.515) train_loss=146.68466187 time/batch=0.56s
39153/77903 (epoch 100.517) train_loss=118.91888428 time/batch=0.42s
39154/77903 (epoch 100.520) train_loss=154.09704590 time/batch=0.53s
39155/77903 (epoch 100.522) train_loss=227.86978149 time/batch=0.78s
39156/77903 (epoch 100.525) train_loss=225.63395691 time/batch=0.75s
39157/77903 (epoch 100.527) train_loss=137.64459229 time/batch=0.52s
39158/77903 (epoch 100.530) train_loss=179.18933105 time/batch=0.64s
39159/77903 (epoch 100.533) train_loss=155.00274658 time/batch=0.56s
39160/77903 (epoch 100.535) train_loss=196.90412903 time/batch=0.67s
39161/77903 (epoch 100.538) train_loss=190.11416626 time/batch=0.70s
39162/77903 (epoch 100.540) train_loss=91.55403900 time/batch=0.39s
39163/77903 (epoch 100.543) train_loss=237.22558594 time/batch=0.75s
39164/77903 (epoch 100.545) train_loss=282.14065552 time/batch=0.91s
39165/77903 (epoch 100.548) train_loss=99.91639709 time/batch=0.39s
39166/77903 (epoch 100.551) train_loss=174.47058105 time/batch=0.59s
39167/77903 (epoch 100.553) train_loss=215.22149658 time/batch=0.75s
39168/77903 (epoch 100.556) train_loss=237.39773560 time/batch=0.83s
39169/77903 (epoch 100.558) train_loss=112.97029114 time/batch=0.51s
39170/77903 (epoch 100.561) train_loss=240.12257385 time/batch=0.81s
39171/77903 (epoch 100.563) train_loss=205.16099548 time/batch=0.76s
39172/77903 (epoch 100.566) train_loss=134.03565979 time/batch=0.53s
39173/77903 (epoch 100.568) train_loss=118.93388367 time/batch=0.44s
39174/77903 (epoch 100.571) train_loss=169.40481567 time/batch=0.60s
39175/77903 (epoch 100.574) train_loss=115.51240540 time/batch=0.44s
39176/77903 (epoch 100.576) train_loss=183.50184631 time/batch=0.65s
39177/77903 (epoch 100.579) train_loss=178.68103027 time/batch=0.64s
39178/77903 (epoch 100.581) train_loss=117.88249207 time/batch=0.48s
39179/77903 (epoch 100.584) train_loss=145.98350525 time/batch=0.54s
39180/77903 (epoch 100.586) train_loss=114.02392578 time/batch=0.43s
39181/77903 (epoch 100.589) train_loss=127.87806702 time/batch=0.47s
39182/77903 (epoch 100.592) train_loss=239.72140503 time/batch=0.80s
39183/77903 (epoch 100.594) train_loss=156.10470581 time/batch=0.64s
39184/77903 (epoch 100.597) train_loss=105.18519592 time/batch=0.36s
39185/77903 (epoch 100.599) train_loss=149.06562805 time/batch=0.56s
39186/77903 (epoch 100.602) train_loss=116.08405304 time/batch=0.47s
39187/77903 (epoch 100.604) train_loss=97.53240967 time/batch=0.35s
39188/77903 (epoch 100.607) train_loss=198.92996216 time/batch=0.65s
39189/77903 (epoch 100.610) train_loss=230.68679810 time/batch=0.84s
39190/77903 (epoch 100.612) train_loss=172.69671631 time/batch=0.65s
39191/77903 (epoch 100.615) train_loss=111.76058960 time/batch=0.45s
39192/77903 (epoch 100.617) train_loss=135.72770691 time/batch=0.47s
39193/77903 (epoch 100.620) train_loss=195.93658447 time/batch=0.67s
39194/77903 (epoch 100.622) train_loss=180.77893066 time/batch=0.65s
39195/77903 (epoch 100.625) train_loss=161.88537598 time/batch=0.62s
39196/77903 (epoch 100.628) train_loss=287.33187866 time/batch=0.93s
39197/77903 (epoch 100.630) train_loss=180.30012512 time/batch=0.70s
39198/77903 (epoch 100.633) train_loss=95.31890869 time/batch=0.38s
39199/77903 (epoch 100.635) train_loss=123.79375458 time/batch=0.47s
39200/77903 (epoch 100.638) train_loss=220.78851318 time/batch=0.77s
39201/77903 (epoch 100.640) train_loss=162.70671082 time/batch=0.62s
39202/77903 (epoch 100.643) train_loss=192.62139893 time/batch=0.67s
39203/77903 (epoch 100.646) train_loss=93.67921448 time/batch=0.36s
39204/77903 (epoch 100.648) train_loss=118.78810120 time/batch=0.42s
39205/77903 (epoch 100.651) train_loss=132.87736511 time/batch=0.49s
39206/77903 (epoch 100.653) train_loss=118.03097534 time/batch=0.44s
39207/77903 (epoch 100.656) train_loss=159.13796997 time/batch=0.55s
39208/77903 (epoch 100.658) train_loss=116.83548737 time/batch=0.46s
39209/77903 (epoch 100.661) train_loss=133.06927490 time/batch=0.48s
39210/77903 (epoch 100.663) train_loss=112.62161255 time/batch=0.46s
39211/77903 (epoch 100.666) train_loss=134.97459412 time/batch=0.48s
39212/77903 (epoch 100.669) train_loss=138.43014526 time/batch=0.52s
39213/77903 (epoch 100.671) train_loss=97.13755798 time/batch=0.35s
39214/77903 (epoch 100.674) train_loss=152.62222290 time/batch=0.53s
39215/77903 (epoch 100.676) train_loss=123.97126007 time/batch=0.49s
39216/77903 (epoch 100.679) train_loss=225.30703735 time/batch=0.81s
39217/77903 (epoch 100.681) train_loss=133.17118835 time/batch=0.54s
39218/77903 (epoch 100.684) train_loss=141.40676880 time/batch=0.51s
39219/77903 (epoch 100.687) train_loss=135.81893921 time/batch=0.48s
39220/77903 (epoch 100.689) train_loss=188.42764282 time/batch=0.65s
39221/77903 (epoch 100.692) train_loss=116.30062866 time/batch=0.48s
39222/77903 (epoch 100.694) train_loss=117.64879608 time/batch=0.45s
39223/77903 (epoch 100.697) train_loss=143.51498413 time/batch=0.55s
39224/77903 (epoch 100.699) train_loss=154.77180481 time/batch=0.57s
39225/77903 (epoch 100.702) train_loss=119.07402039 time/batch=0.48s
39226/77903 (epoch 100.705) train_loss=138.90209961 time/batch=0.50s
39227/77903 (epoch 100.707) train_loss=202.69525146 time/batch=0.68s
39228/77903 (epoch 100.710) train_loss=111.19136810 time/batch=0.49s
39229/77903 (epoch 100.712) train_loss=180.46380615 time/batch=0.63s
39230/77903 (epoch 100.715) train_loss=164.60964966 time/batch=0.61s
39231/77903 (epoch 100.717) train_loss=112.22441101 time/batch=0.42s
39232/77903 (epoch 100.720) train_loss=140.79965210 time/batch=0.56s
39233/77903 (epoch 100.723) train_loss=117.01145935 time/batch=0.45s
39234/77903 (epoch 100.725) train_loss=169.87658691 time/batch=0.64s
39235/77903 (epoch 100.728) train_loss=173.47801208 time/batch=0.66s
39236/77903 (epoch 100.730) train_loss=208.24917603 time/batch=0.69s
39237/77903 (epoch 100.733) train_loss=180.19621277 time/batch=0.65s
39238/77903 (epoch 100.735) train_loss=121.88575745 time/batch=0.48s
39239/77903 (epoch 100.738) train_loss=150.79414368 time/batch=0.53s
39240/77903 (epoch 100.741) train_loss=145.99063110 time/batch=0.54s
39241/77903 (epoch 100.743) train_loss=141.05807495 time/batch=0.51s
39242/77903 (epoch 100.746) train_loss=172.03739929 time/batch=0.62s
39243/77903 (epoch 100.748) train_loss=130.16635132 time/batch=0.52s
39244/77903 (epoch 100.751) train_loss=220.36863708 time/batch=0.72s
39245/77903 (epoch 100.753) train_loss=158.08383179 time/batch=0.62s
39246/77903 (epoch 100.756) train_loss=97.42130280 time/batch=0.37s
39247/77903 (epoch 100.758) train_loss=157.56918335 time/batch=0.57s
39248/77903 (epoch 100.761) train_loss=141.79861450 time/batch=0.52s
39249/77903 (epoch 100.764) train_loss=116.48459625 time/batch=0.45s
39250/77903 (epoch 100.766) train_loss=150.54562378 time/batch=0.57s
39251/77903 (epoch 100.769) train_loss=157.57205200 time/batch=0.54s
39252/77903 (epoch 100.771) train_loss=176.28886414 time/batch=0.64s
39253/77903 (epoch 100.774) train_loss=147.19012451 time/batch=0.59s
39254/77903 (epoch 100.776) train_loss=157.28881836 time/batch=0.58s
39255/77903 (epoch 100.779) train_loss=151.59101868 time/batch=0.54s
39256/77903 (epoch 100.782) train_loss=120.04725647 time/batch=0.47s
39257/77903 (epoch 100.784) train_loss=137.17021179 time/batch=0.52s
39258/77903 (epoch 100.787) train_loss=206.93029785 time/batch=0.69s
39259/77903 (epoch 100.789) train_loss=121.03085327 time/batch=0.49s
39260/77903 (epoch 100.792) train_loss=134.83740234 time/batch=0.52s
39261/77903 (epoch 100.794) train_loss=152.90870667 time/batch=0.56s
39262/77903 (epoch 100.797) train_loss=276.15405273 time/batch=0.85s
39263/77903 (epoch 100.800) train_loss=177.42059326 time/batch=0.72s
39264/77903 (epoch 100.802) train_loss=147.99084473 time/batch=0.60s
39265/77903 (epoch 100.805) train_loss=117.21333313 time/batch=0.48s
39266/77903 (epoch 100.807) train_loss=130.01968384 time/batch=0.47s
39267/77903 (epoch 100.810) train_loss=182.43467712 time/batch=0.68s
39268/77903 (epoch 100.812) train_loss=147.57632446 time/batch=0.59s
39269/77903 (epoch 100.815) train_loss=108.85211182 time/batch=0.46s
39270/77903 (epoch 100.818) train_loss=148.94769287 time/batch=0.57s
39271/77903 (epoch 100.820) train_loss=146.44914246 time/batch=0.59s
39272/77903 (epoch 100.823) train_loss=122.49351501 time/batch=0.48s
39273/77903 (epoch 100.825) train_loss=125.69428253 time/batch=0.47s
39274/77903 (epoch 100.828) train_loss=238.58859253 time/batch=0.83s
39275/77903 (epoch 100.830) train_loss=147.24327087 time/batch=0.63s
39276/77903 (epoch 100.833) train_loss=118.56188202 time/batch=0.48s
39277/77903 (epoch 100.835) train_loss=115.30004883 time/batch=0.45s
