vocabulary size: 212
n tunes: 89927
n train tunes: 85447.0
n validation tunes: 4480.0
106989/133510 (epoch 80.135) train_loss=163.80653381 time/batch=0.75s
106990/133510 (epoch 80.136) train_loss=75.41162872 time/batch=0.29s
106991/133510 (epoch 80.137) train_loss=70.67126465 time/batch=0.30s
106992/133510 (epoch 80.137) train_loss=79.07437897 time/batch=0.31s
106993/133510 (epoch 80.138) train_loss=357.37274170 time/batch=1.18s
106994/133510 (epoch 80.139) train_loss=209.43977356 time/batch=0.92s
106995/133510 (epoch 80.140) train_loss=145.44464111 time/batch=0.69s
106996/133510 (epoch 80.140) train_loss=230.81205750 time/batch=0.89s
106997/133510 (epoch 80.141) train_loss=313.64019775 time/batch=1.20s
106998/133510 (epoch 80.142) train_loss=192.56973267 time/batch=0.77s
106999/133510 (epoch 80.142) train_loss=294.48785400 time/batch=1.02s
Validating
    loss:	nan

107000/133510 (epoch 80.143) train_loss=112.41607666 time/batch=11.09s
107001/133510 (epoch 80.144) train_loss=423.26196289 time/batch=1.31s
107002/133510 (epoch 80.145) train_loss=85.14669800 time/batch=0.43s
107003/133510 (epoch 80.145) train_loss=239.85455322 time/batch=0.83s
107004/133510 (epoch 80.146) train_loss=128.74269104 time/batch=0.58s
107005/133510 (epoch 80.147) train_loss=216.14349365 time/batch=0.85s
107006/133510 (epoch 80.148) train_loss=62.77320862 time/batch=0.32s
107007/133510 (epoch 80.148) train_loss=475.70544434 time/batch=1.63s
107008/133510 (epoch 80.149) train_loss=489.52896118 time/batch=1.87s
107009/133510 (epoch 80.150) train_loss=219.65553284 time/batch=0.96s
107010/133510 (epoch 80.151) train_loss=286.12350464 time/batch=1.01s
107011/133510 (epoch 80.151) train_loss=162.76541138 time/batch=0.74s
107012/133510 (epoch 80.152) train_loss=204.37802124 time/batch=0.78s
107013/133510 (epoch 80.153) train_loss=228.04928589 time/batch=0.95s
107014/133510 (epoch 80.154) train_loss=190.59878540 time/batch=0.82s
107015/133510 (epoch 80.154) train_loss=186.40487671 time/batch=0.71s
107016/133510 (epoch 80.155) train_loss=290.48434448 time/batch=0.98s
107017/133510 (epoch 80.156) train_loss=128.61437988 time/batch=0.60s
107018/133510 (epoch 80.157) train_loss=132.62796021 time/batch=0.55s
107019/133510 (epoch 80.157) train_loss=213.56967163 time/batch=0.83s
107020/133510 (epoch 80.158) train_loss=350.13870239 time/batch=1.06s
107021/133510 (epoch 80.159) train_loss=201.93743896 time/batch=0.87s
107022/133510 (epoch 80.160) train_loss=185.33264160 time/batch=0.82s
107023/133510 (epoch 80.160) train_loss=79.55413818 time/batch=0.38s
107024/133510 (epoch 80.161) train_loss=157.84727478 time/batch=0.64s
107025/133510 (epoch 80.162) train_loss=90.91479492 time/batch=0.47s
107026/133510 (epoch 80.163) train_loss=97.93206024 time/batch=0.40s
107027/133510 (epoch 80.163) train_loss=191.45437622 time/batch=0.73s
107028/133510 (epoch 80.164) train_loss=62.55652618 time/batch=0.29s
107029/133510 (epoch 80.165) train_loss=148.35870361 time/batch=0.58s
107030/133510 (epoch 80.166) train_loss=286.03021240 time/batch=1.03s
107031/133510 (epoch 80.166) train_loss=350.57556152 time/batch=1.33s
107032/133510 (epoch 80.167) train_loss=335.63836670 time/batch=1.24s
107033/133510 (epoch 80.168) train_loss=83.92509460 time/batch=0.39s
107034/133510 (epoch 80.169) train_loss=148.75164795 time/batch=0.59s
107035/133510 (epoch 80.169) train_loss=191.20803833 time/batch=0.83s
107036/133510 (epoch 80.170) train_loss=280.87963867 time/batch=0.95s
107037/133510 (epoch 80.171) train_loss=286.05044556 time/batch=1.07s
107038/133510 (epoch 80.172) train_loss=78.75839233 time/batch=0.39s
107039/133510 (epoch 80.172) train_loss=211.39608765 time/batch=0.73s
107040/133510 (epoch 80.173) train_loss=156.44421387 time/batch=0.65s
107041/133510 (epoch 80.174) train_loss=327.24829102 time/batch=1.05s
107042/133510 (epoch 80.175) train_loss=68.46946716 time/batch=0.33s
107043/133510 (epoch 80.175) train_loss=308.29269409 time/batch=1.10s
107044/133510 (epoch 80.176) train_loss=153.46240234 time/batch=0.75s
107045/133510 (epoch 80.177) train_loss=211.22752380 time/batch=0.78s
107046/133510 (epoch 80.178) train_loss=80.94842529 time/batch=0.35s
107047/133510 (epoch 80.178) train_loss=87.90075684 time/batch=0.32s
107048/133510 (epoch 80.179) train_loss=124.37831116 time/batch=0.50s
107049/133510 (epoch 80.180) train_loss=88.33148193 time/batch=0.36s
107050/133510 (epoch 80.181) train_loss=140.84573364 time/batch=0.59s
107051/133510 (epoch 80.181) train_loss=91.50021362 time/batch=0.31s
107052/133510 (epoch 80.182) train_loss=166.17694092 time/batch=0.64s
107053/133510 (epoch 80.183) train_loss=298.95275879 time/batch=1.05s
107054/133510 (epoch 80.184) train_loss=251.05874634 time/batch=0.97s
107055/133510 (epoch 80.184) train_loss=260.15325928 time/batch=0.97s
107056/133510 (epoch 80.185) train_loss=146.51461792 time/batch=0.70s
107057/133510 (epoch 80.186) train_loss=197.89283752 time/batch=0.77s
107058/133510 (epoch 80.187) train_loss=242.71884155 time/batch=0.96s
107059/133510 (epoch 80.187) train_loss=189.54956055 time/batch=0.81s
107060/133510 (epoch 80.188) train_loss=278.61843872 time/batch=0.98s
107061/133510 (epoch 80.189) train_loss=121.79917908 time/batch=0.64s
107062/133510 (epoch 80.190) train_loss=100.22160339 time/batch=0.44s
107063/133510 (epoch 80.190) train_loss=91.03240204 time/batch=0.35s
107064/133510 (epoch 80.191) train_loss=149.77319336 time/batch=0.57s
107065/133510 (epoch 80.192) train_loss=92.95075226 time/batch=0.33s
107066/133510 (epoch 80.193) train_loss=188.47183228 time/batch=0.70s
107067/133510 (epoch 80.193) train_loss=204.94921875 time/batch=0.78s
107068/133510 (epoch 80.194) train_loss=241.65097046 time/batch=0.97s
107069/133510 (epoch 80.195) train_loss=72.78955078 time/batch=0.38s
107070/133510 (epoch 80.196) train_loss=181.49139404 time/batch=0.69s
107071/133510 (epoch 80.196) train_loss=281.10266113 time/batch=1.07s
107072/133510 (epoch 80.197) train_loss=352.52880859 time/batch=1.22s
107073/133510 (epoch 80.198) train_loss=170.77435303 time/batch=0.78s
107074/133510 (epoch 80.199) train_loss=149.15417480 time/batch=0.65s
107075/133510 (epoch 80.199) train_loss=118.79045868 time/batch=0.58s
107076/133510 (epoch 80.200) train_loss=196.33283997 time/batch=0.71s
107077/133510 (epoch 80.201) train_loss=118.60793304 time/batch=0.60s
107078/133510 (epoch 80.202) train_loss=97.46696472 time/batch=0.40s
107079/133510 (epoch 80.202) train_loss=295.86779785 time/batch=1.03s
107080/133510 (epoch 80.203) train_loss=94.99390411 time/batch=0.49s
107081/133510 (epoch 80.204) train_loss=190.10581970 time/batch=0.73s
107082/133510 (epoch 80.205) train_loss=291.27508545 time/batch=0.98s
107083/133510 (epoch 80.205) train_loss=175.62820435 time/batch=0.81s
107084/133510 (epoch 80.206) train_loss=211.58407593 time/batch=0.89s
107085/133510 (epoch 80.207) train_loss=279.78460693 time/batch=1.03s
107086/133510 (epoch 80.208) train_loss=87.68819427 time/batch=0.42s
107087/133510 (epoch 80.208) train_loss=95.81782532 time/batch=0.43s
107088/133510 (epoch 80.209) train_loss=103.62327576 time/batch=0.39s
107089/133510 (epoch 80.210) train_loss=112.58744049 time/batch=0.55s
107090/133510 (epoch 80.211) train_loss=94.20136261 time/batch=0.39s
107091/133510 (epoch 80.211) train_loss=64.59566498 time/batch=0.25s
107092/133510 (epoch 80.212) train_loss=269.86950684 time/batch=0.93s
107093/133510 (epoch 80.213) train_loss=110.68793488 time/batch=0.57s
107094/133510 (epoch 80.214) train_loss=159.55924988 time/batch=0.67s
107095/133510 (epoch 80.214) train_loss=189.27774048 time/batch=0.73s
107096/133510 (epoch 80.215) train_loss=133.48646545 time/batch=0.61s
107097/133510 (epoch 80.216) train_loss=331.68505859 time/batch=1.07s
107098/133510 (epoch 80.217) train_loss=95.61102295 time/batch=0.50s
107099/133510 (epoch 80.217) train_loss=87.55503845 time/batch=0.36s
107100/133510 (epoch 80.218) train_loss=93.61723328 time/batch=0.37s
107101/133510 (epoch 80.219) train_loss=163.04450989 time/batch=0.63s
107102/133510 (epoch 80.220) train_loss=283.34625244 time/batch=0.98s
107103/133510 (epoch 80.220) train_loss=123.98124695 time/batch=0.62s
107104/133510 (epoch 80.221) train_loss=146.73284912 time/batch=0.61s
107105/133510 (epoch 80.222) train_loss=65.83472443 time/batch=0.28s
107106/133510 (epoch 80.223) train_loss=298.56250000 time/batch=0.95s
107107/133510 (epoch 80.223) train_loss=147.77424622 time/batch=0.67s
107108/133510 (epoch 80.224) train_loss=137.64712524 time/batch=0.60s
107109/133510 (epoch 80.225) train_loss=144.41949463 time/batch=0.64s
107110/133510 (epoch 80.226) train_loss=173.76629639 time/batch=0.76s
107111/133510 (epoch 80.226) train_loss=84.24491882 time/batch=0.41s
107112/133510 (epoch 80.227) train_loss=235.61230469 time/batch=0.88s
107113/133510 (epoch 80.228) train_loss=163.81506348 time/batch=0.74s
107114/133510 (epoch 80.229) train_loss=79.60086060 time/batch=0.35s
107115/133510 (epoch 80.229) train_loss=210.18188477 time/batch=0.71s
107116/133510 (epoch 80.230) train_loss=66.22244263 time/batch=0.29s
107117/133510 (epoch 80.231) train_loss=243.68099976 time/batch=0.88s
107118/133510 (epoch 80.232) train_loss=80.64467621 time/batch=0.34s
107119/133510 (epoch 80.232) train_loss=237.16027832 time/batch=0.83s
107120/133510 (epoch 80.233) train_loss=97.01364136 time/batch=0.51s
107121/133510 (epoch 80.234) train_loss=78.84324646 time/batch=0.28s
107122/133510 (epoch 80.235) train_loss=353.35247803 time/batch=1.07s
107123/133510 (epoch 80.235) train_loss=129.24215698 time/batch=0.64s
107124/133510 (epoch 80.236) train_loss=327.99160767 time/batch=1.15s
107125/133510 (epoch 80.237) train_loss=264.86639404 time/batch=1.02s
107126/133510 (epoch 80.238) train_loss=66.22186279 time/batch=0.32s
107127/133510 (epoch 80.238) train_loss=139.75863647 time/batch=0.56s
107128/133510 (epoch 80.239) train_loss=155.25218201 time/batch=0.62s
107129/133510 (epoch 80.240) train_loss=216.16455078 time/batch=0.85s
107130/133510 (epoch 80.241) train_loss=98.93806458 time/batch=0.46s
107131/133510 (epoch 80.241) train_loss=141.82699585 time/batch=0.62s
107132/133510 (epoch 80.242) train_loss=166.39379883 time/batch=0.69s
107133/133510 (epoch 80.243) train_loss=204.68127441 time/batch=0.78s
107134/133510 (epoch 80.244) train_loss=253.03738403 time/batch=0.99s
107135/133510 (epoch 80.244) train_loss=184.42909241 time/batch=0.78s
107136/133510 (epoch 80.245) train_loss=118.31027222 time/batch=0.60s
107137/133510 (epoch 80.246) train_loss=86.21806335 time/batch=0.40s
107138/133510 (epoch 80.247) train_loss=91.22377777 time/batch=0.37s
107139/133510 (epoch 80.247) train_loss=92.57257080 time/batch=0.37s
107140/133510 (epoch 80.248) train_loss=213.40426636 time/batch=0.84s
107141/133510 (epoch 80.249) train_loss=88.15572357 time/batch=0.43s
107142/133510 (epoch 80.250) train_loss=128.10910034 time/batch=0.52s
107143/133510 (epoch 80.250) train_loss=104.34300232 time/batch=0.51s
107144/133510 (epoch 80.251) train_loss=168.39572144 time/batch=0.68s
107145/133510 (epoch 80.252) train_loss=249.24267578 time/batch=0.90s
107146/133510 (epoch 80.253) train_loss=101.58443451 time/batch=0.50s
107147/133510 (epoch 80.253) train_loss=104.22066498 time/batch=0.39s
107148/133510 (epoch 80.254) train_loss=103.43460083 time/batch=0.39s
107149/133510 (epoch 80.255) train_loss=239.60504150 time/batch=0.86s
107150/133510 (epoch 80.256) train_loss=89.48765564 time/batch=0.43s
107151/133510 (epoch 80.256) train_loss=208.76362610 time/batch=0.81s
107152/133510 (epoch 80.257) train_loss=92.09284973 time/batch=0.42s
107153/133510 (epoch 80.258) train_loss=235.67944336 time/batch=0.84s
107154/133510 (epoch 80.259) train_loss=223.69329834 time/batch=0.93s
107155/133510 (epoch 80.259) train_loss=98.08170319 time/batch=0.49s
107156/133510 (epoch 80.260) train_loss=91.63247681 time/batch=0.45s
107157/133510 (epoch 80.261) train_loss=210.08474731 time/batch=0.73s
107158/133510 (epoch 80.262) train_loss=176.25704956 time/batch=0.84s
107159/133510 (epoch 80.262) train_loss=147.72396851 time/batch=0.68s
107160/133510 (epoch 80.263) train_loss=177.74673462 time/batch=0.72s
107161/133510 (epoch 80.264) train_loss=145.68286133 time/batch=0.69s
107162/133510 (epoch 80.265) train_loss=191.40283203 time/batch=0.84s
107163/133510 (epoch 80.265) train_loss=90.50984192 time/batch=0.51s
107164/133510 (epoch 80.266) train_loss=256.67178345 time/batch=1.04s
107165/133510 (epoch 80.267) train_loss=121.86120605 time/batch=0.59s
107166/133510 (epoch 80.268) train_loss=99.42077637 time/batch=0.43s
107167/133510 (epoch 80.268) train_loss=351.51834106 time/batch=1.17s
107168/133510 (epoch 80.269) train_loss=220.75975037 time/batch=0.96s
107169/133510 (epoch 80.270) train_loss=187.73042297 time/batch=0.80s
107170/133510 (epoch 80.271) train_loss=261.24505615 time/batch=0.96s
107171/133510 (epoch 80.271) train_loss=158.04669189 time/batch=0.74s
107172/133510 (epoch 80.272) train_loss=194.10531616 time/batch=0.77s
107173/133510 (epoch 80.273) train_loss=211.21101379 time/batch=0.90s
107174/133510 (epoch 80.274) train_loss=75.03961945 time/batch=0.38s
107175/133510 (epoch 80.274) train_loss=175.01261902 time/batch=0.67s
107176/133510 (epoch 80.275) train_loss=154.83390808 time/batch=0.67s
107177/133510 (epoch 80.276) train_loss=275.62902832 time/batch=1.08s
